Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 1-19 years,thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2015,Developing,65.0,263,62,0.009950330853168,4.280542258460885,65.0,7.051855622955894,19.1,83,6.0,8.16,65.0,0.1,584.25921,17.33409074705403,17.2,17.3,0.479,10.1
Afghanistan,2014,Developing,59.9,271,64,0.009950330853168,4.311115607917084,62.0,6.20050917404269,18.6,86,58.0,8.18,62.0,0.1,612.696514,12.699496737062692,17.5,17.5,0.476,10.0
Afghanistan,2013,Developing,59.9,268,66,0.009950330853168,4.307023452400663,64.0,6.066108090103747,18.1,89,62.0,8.13,64.0,0.1,631.744976,17.272826392524035,17.7,17.7,0.47,9.9
Afghanistan,2012,Developing,59.5,272,69,0.009950330853168,4.371776977189467,67.0,7.933079771880415,17.6,93,67.0,8.52,67.0,0.1,669.959,15.12302114778424,17.9,18.0,0.463,9.8
Afghanistan,2011,Developing,59.2,275,71,0.009950330853168,2.091507047709576,68.0,8.01102337918644,17.2,97,68.0,7.87,68.0,0.1,382.2439604714286,14.906963949433903,18.2,18.2,0.454,9.5
Afghanistan,2010,Developing,58.8,279,74,0.009950330853168,4.39048287170673,66.0,7.595889917718538,16.7,102,66.0,9.2,66.0,0.1,553.32894,14.87440024755543,18.4,18.4,0.448,9.2
Afghanistan,2009,Developing,58.6,281,77,0.009950330853168,4.056334873695729,63.0,7.959275960116396,16.2,106,63.0,9.42,63.0,0.1,445.8932979,12.55789784846294,18.6,18.7,0.434,8.9
Afghanistan,2008,Developing,58.1,287,80,0.0295588022415444,3.2911564990436903,64.0,7.377758908227872,15.7,110,64.0,8.33,64.0,0.1,373.3611163,14.819604086905889,18.8,18.9,0.433,8.7
Afghanistan,2007,Developing,57.5,295,82,0.0198026272961797,2.4773914798389645,63.0,7.040536390215956,15.2,113,63.0,6.73,63.0,0.1,369.835796,17.09705289034542,19.0,19.1,0.415,8.4
Afghanistan,2006,Developing,57.3,295,84,0.0295588022415444,2.89985539625697,64.0,7.596392304064196,23.276239750958176,116,58.0,7.43,58.0,0.1,272.56377,14.76691589213728,19.2,19.3,0.405,8.1
Afghanistan,2005,Developing,57.3,291,85,0.0198026272961797,0.8707274033063157,66.0,7.167809184316444,23.276239750958176,118,58.0,8.7,58.0,0.1,382.2439604714286,12.459935490503751,19.3,19.5,0.396,7.9
Afghanistan,2004,Developing,57.0,293,87,0.0198026272961797,2.790923755376677,67.0,6.1463292576688975,23.23369475383097,120,5.0,8.79,5.0,0.1,219.1413528,16.998509640371857,19.5,19.7,0.381,6.8
Afghanistan,2003,Developing,56.7,295,87,0.009950330853168,2.4923003100268697,65.0,6.683360945766275,23.19114975670377,122,41.0,8.82,41.0,0.1,198.7285436,14.67622599866882,19.7,19.9,0.373,6.5
Afghanistan,2002,Developing,56.2,3,88,0.009950330853168,2.8840938099771143,64.0,7.818832443803404,23.120241428158423,122,36.0,7.76,36.0,0.1,187.84595,16.905640049244962,19.9,2.2,0.341,6.2
Afghanistan,2001,Developing,55.3,316,88,0.009950330853168,2.448824118055131,63.0,9.07829359105585,22.992606436776807,122,35.0,7.8,33.0,0.1,117.49698,14.902881229093968,2.1,2.4,0.34,5.9
Afghanistan,2000,Developing,54.8,321,88,0.009950330853168,2.435800435680048,62.0,8.78462153484075,22.921698108231464,122,24.0,8.2,24.0,0.1,114.56,12.590508173943816,2.3,2.5,0.338,5.5
Albania,2015,Developing,77.8,74,0,1.7227665977411035,5.902565649963353,99.0,0.0,26.18348122131724,0,99.0,6.0,99.0,0.1,3954.22783,10.27069681518976,1.2,1.3,0.762,14.2
Albania,2014,Developing,77.5,8,0,1.706564623164823,6.063201472765545,98.0,0.0,26.140936224190035,1,98.0,5.88,98.0,0.1,4575.763787,12.573887806186432,1.2,1.3,0.761,14.2
Albania,2013,Developing,77.2,84,0,1.7509374747078,6.068140775698127,99.0,0.0,26.09839122706283,1,99.0,5.66,99.0,0.1,4414.72314,12.57623176793085,1.3,1.4,0.759,14.2
Albania,2012,Developing,76.9,86,0,1.814824742159051,6.024520519106913,99.0,2.302585092994046,26.055846229935625,1,99.0,5.59,99.0,0.1,4247.61438,7.9868449011613825,1.3,1.4,0.752,14.2
Albania,2011,Developing,76.6,88,0,1.851599469584072,6.082360681148413,99.0,3.367295829986474,26.013301232808416,1,99.0,5.71,99.0,0.1,4437.17868,12.595394821481149,1.4,1.5,0.738,13.3
Albania,2010,Developing,76.2,91,1,1.837369980480108,3.757069671326781,99.0,2.3978952727983707,25.956574569972144,1,99.0,5.34,99.0,0.1,494.358832,12.582184463611044,1.4,1.5,0.725,12.5
Albania,2009,Developing,76.1,91,1,1.9154509415706047,5.855232229409847,98.0,0.0,25.942392904263077,1,98.0,5.79,98.0,0.1,4114.136545,14.889666206198394,1.5,1.6,0.721,12.2
Albania,2008,Developing,75.3,1,1,1.888583653863595,3.6275908050833454,99.0,0.0,25.82893957859053,1,99.0,5.87,99.0,0.1,437.539647,14.896405144368725,1.6,1.6,0.713,12.0
Albania,2007,Developing,75.9,9,1,1.884034745337226,3.50395107089853,98.0,3.1354942159291497,25.91402957284494,1,99.0,6.1,98.0,0.1,363.13685,10.299508201816291,1.6,1.7,0.703,11.6
Albania,2006,Developing,74.2,99,1,1.8421356765531216,1.4591158739967494,98.0,4.23410650459726,25.67294125579077,1,97.0,5.86,97.0,0.1,2258.6998374666664,14.911635756385875,1.7,1.8,0.696,11.4
Albania,2005,Developing,73.5,15,1,1.8180767775454283,3.331958816780768,98.0,1.9459101490553128,25.57366959582729,1,97.0,6.12,98.0,0.1,279.142931,12.649116093193124,1.8,1.8,0.685,10.8
Albania,2004,Developing,73.0,17,1,1.7119945007591924,5.406466590142783,99.0,2.079441541679836,25.502761267281947,1,98.0,6.38,97.0,0.1,2416.588235,12.6975319468052,1.8,1.9,0.681,10.9
Albania,2003,Developing,72.8,18,1,1.665818245870208,2.7548885455196648,97.0,2.19722457733622,25.474397935863813,1,97.0,6.27,97.0,0.1,189.681557,12.73557379105924,1.9,2.0,0.674,10.7
Albania,2002,Developing,73.3,15,1,1.5539252025038417,4.6588712784519215,96.0,2.833213344056216,25.54530626440916,1,98.0,6.3,98.0,0.1,1453.642777,8.163940954755008,2.0,2.1,0.67,10.7
Albania,2001,Developing,73.6,14,1,1.6582280766035324,4.576828022375532,96.0,2.9444389791664403,25.58785126153636,1,97.0,6.0,97.0,0.1,1326.97339,10.49609590771746,2.1,2.1,0.662,10.6
Albania,2000,Developing,72.6,11,1,1.5390154481375546,4.529492958027057,96.0,6.496774990185863,25.44603460444567,1,97.0,6.26,97.0,0.1,1175.788981,10.569469065023304,2.1,2.2,0.656,10.7
Algeria,2014,Developing,75.4,11,21,0.009950330853168,4.01163878101945,95.0,0.0,25.8431212442996,24,95.0,7.21,95.0,0.1,547.8517,17.481973478503658,6.0,5.8,0.741,14.4
