Country,Year,Life expectancy,Adult Mortality,Polio,Diphtheria,Hepatitis B,Total expenditure,percentage expenditure,Measles,Population,Alcohol
Afghanistan,2015,65.0,263.0,6.0,65.0,65.0,8.16,71.27962362,7.051855622955894,17.33409074705403,0.009950330853168083
Afghanistan,2014,59.9,271.0,58.0,62.0,62.0,8.18,73.52358168,6.20050917404269,12.699496737062693,0.009950330853168083
Afghanistan,2013,59.9,268.0,62.0,64.0,64.0,8.13,73.21924272,6.066108090103747,17.272826392524035,0.009950330853168083
Afghanistan,2012,59.5,272.0,67.0,67.0,67.0,8.52,78.1842153,7.933079771880415,15.123021147784241,0.009950330853168083
Afghanistan,2011,59.2,275.0,68.0,68.0,68.0,7.87,7.097108703,8.01102337918644,14.906963949433905,0.009950330853168083
Afghanistan,2010,58.8,279.0,66.0,66.0,66.0,9.2,79.67936736,7.595889917718538,14.87440024755543,0.009950330853168083
Afghanistan,2009,58.6,281.0,63.0,63.0,63.0,9.42,56.76221682,7.959275960116396,12.557897848462941,0.009950330853168083
Afghanistan,2008,58.1,287.0,64.0,64.0,64.0,8.33,25.87392536,7.3777589082278725,14.819604086905889,0.0295588022415444
Afghanistan,2007,57.5,295.0,63.0,63.0,63.0,6.73,10.91015598,7.040536390215956,17.09705289034542,0.019802627296179712
Afghanistan,2006,57.3,295.0,58.0,58.0,64.0,7.43,17.17151751,7.596392304064196,14.76691589213728,0.0295588022415444
Afghanistan,2005,57.3,291.0,58.0,58.0,66.0,8.7,1.388647732,7.167809184316444,12.459935490503751,0.019802627296179712
Afghanistan,2004,57.0,293.0,5.0,5.0,67.0,8.79,15.29606643,6.1463292576688975,16.998509640371857,0.019802627296179712
Afghanistan,2003,56.7,295.0,41.0,41.0,65.0,8.82,11.08905273,6.683360945766275,14.676225998668821,0.009950330853168083
Afghanistan,2002,56.2,42.0,36.0,36.0,64.0,7.76,16.88735091,7.818832443803404,16.905640049244962,0.009950330853168083
Afghanistan,2001,55.3,316.0,35.0,33.0,63.0,7.8,10.5747282,9.07829359105585,14.902881229093968,0.009950330853168083
Afghanistan,2000,54.8,320.25,24.0,24.0,62.0,8.2,10.42496,8.78462153484075,12.590508173943816,0.009950330853168083
Albania,2015,77.8,74.0,99.0,99.0,99.0,6.0,364.9752287,0.0,10.27069681518976,1.7227665977411035
Albania,2014,77.5,8.0,98.0,98.0,98.0,5.88,428.7490668,0.0,12.573887806186432,1.706564623164823
Albania,2013,77.2,84.0,99.0,99.0,99.0,5.66,430.8769785,0.0,12.57623176793085,1.7509374747078
Albania,2012,76.9,86.0,99.0,99.0,99.0,5.59,412.4433563,2.302585092994046,7.9868449011613825,1.814824742159051
Albania,2011,76.6,88.0,99.0,99.0,99.0,5.71,437.0621,3.367295829986474,12.595394821481149,1.851599469584072
Albania,2010,76.2,91.0,99.0,99.0,99.0,5.34,41.82275719,2.3978952727983707,12.582184463611044,1.8373699804801074
Albania,2009,76.1,91.0,98.0,98.0,98.0,5.79,348.0559517,0.0,14.889666206198394,1.9154509415706047
Albania,2008,75.3,2.05,99.0,99.0,99.0,5.87,36.62206845,0.0,14.896405144368723,1.888583653863595
Albania,2007,75.9,9.0,99.0,98.0,98.0,6.1,32.24655228,3.1354942159291497,10.299508201816293,1.884034745337226
Albania,2006,74.2,97.8,97.0,97.0,98.0,5.86,3.3021542,4.23410650459726,14.911635756385875,1.8421356765531218
Albania,2005,73.5,15.0,97.0,98.0,98.0,6.12,26.99312143,1.9459101490553132,12.649116093193125,1.8180767775454285
Albania,2004,73.0,17.0,98.0,97.0,99.0,6.38,221.8428,2.0794415416798357,12.6975319468052,1.7119945007591924
