Country,Year,GDP
Afghanistan,2015,584.25921
Afghanistan,2014,612.696514
Afghanistan,2013,631.744976
Afghanistan,2012,669.959
Afghanistan,2011,382.2439604714286
Afghanistan,2010,553.32894
Afghanistan,2009,445.8932979
Afghanistan,2008,373.3611163
Afghanistan,2007,369.835796
Afghanistan,2006,272.56377
Afghanistan,2005,382.2439604714286
Afghanistan,2004,219.1413528
Afghanistan,2003,198.7285436
Afghanistan,2002,187.84595
Afghanistan,2001,117.49698
Afghanistan,2000,114.56
Albania,2015,3954.22783
Albania,2014,4575.763787
Albania,2013,4414.72314
Albania,2012,4247.61438
Albania,2011,4437.17868
Albania,2010,494.358832
Albania,2009,4114.136545
Albania,2008,437.539647
Albania,2007,363.13685
Albania,2006,2258.6998374666664
Albania,2005,279.142931
Albania,2004,2416.588235
Albania,2003,189.681557
Albania,2002,1453.642777
Albania,2001,1326.97339
Albania,2000,1175.788981
Algeria,2014,547.8517
Algeria,2013,5471.866766
Algeria,2012,5564.82566
Algeria,2011,5432.2523
Algeria,2010,4463.394675
Algeria,2009,3868.83123
Algeria,2008,495.254866
Algeria,2007,3935.183343
Algeria,2006,3464.6179
Algeria,2005,3584.306074
Algeria,2004,2598.9823
Angola,2014,479.31224
Angola,2013,484.616884
Angola,2012,4598.249988
Angola,2011,4299.12889
Angola,2010,3529.53482
Angola,2009,3347.84485
Angola,2008,3868.578883
Angola,2007,2878.837144
Argentina,2014,12245.25645
Argentina,2013,12976.63642
Argentina,2012,12969.7712
Argentina,2011,12726.9836
Argentina,2010,1276.265
Argentina,2009,8161.36966
Argentina,2008,8953.359275
Argentina,2007,7193.61764
Argentina,2006,5878.76127
Argentina,2005,576.883829
Argentina,2004,4251.574348
Argentina,2003,333.4376
Argentina,2002,2579.193168
Armenia,2014,3994.712355
Armenia,2013,3843.591213
Armenia,2012,3684.8481
Armenia,2011,3526.978143
Armenia,2010,3218.381655
Armenia,2009,2993.832531
Armenia,2008,2422.7453984384615
Armenia,2007,3138.8873
Armenia,2006,2158.299
Armenia,2005,1643.758397
Armenia,2004,1191.96192
Armenia,2003,2422.7453984384615
Armenia,2002,783.261699
Armenia,2001,694.435119
Armenia,2000,622.7427477
Australia,2014,62214.6912
Australia,2013,67792.3386
Australia,2012,67677.63477
Australia,2011,62245.129
Australia,2010,51874.848
Australia,2009,42742.99898
Australia,2008,49664.6854
Australia,2007,4991.98289
Australia,2006,36118.28381
Australia,2005,3416.71483
Australia,2004,3472.37977
Australia,2003,23465.38559
Australia,2002,281.81763
Australia,2001,19517.84168
Austria,2014,51322.63997
Austria,2013,554.71532
Austria,2012,48333.57273
Austria,2011,51126.74139
Austria,2010,46657.629
Austria,2009,47654.18721
Austria,2008,51386.37665
Austria,2007,46586.6525
Austria,2006,443.99361
Austria,2005,38242.4252
Austria,2004,36693.4262
Austria,2003,3212.9355
Austria,2002,26351.37568
Austria,2001,24489.73553
Austria,2000,24517.26745
Azerbaijan,2014,7891.299776
Azerbaijan,2013,7875.756953
Azerbaijan,2012,7496.335728
Azerbaijan,2011,7189.691229
Azerbaijan,2010,5842.85784
Azerbaijan,2009,495.294791
Azerbaijan,2008,5574.6382
Azerbaijan,2007,3851.437869
Azerbaijan,2006,2473.85776
Azerbaijan,2005,1578.4239
Azerbaijan,2004,145.2163
Azerbaijan,2003,883.6439965
Azerbaijan,2002,763.73858
Bangladesh,2014,184.56543
Bangladesh,2013,951.8894535
Bangladesh,2012,856.342857
Bangladesh,2011,835.789341
Bangladesh,2010,757.6717572
Bangladesh,2009,681.125368
Bangladesh,2008,615.7775411
Bangladesh,2007,541.651484
Bangladesh,2006,494.51466
Bangladesh,2005,484.155471
Bangladesh,2004,621.4747509090909
Bangladesh,2003,432.7388972
Belarus,2014,8318.429294
Belarus,2013,7978.825443
Belarus,2012,694.243915
Belarus,2011,6519.71753
Belarus,2010,3926.5642877142855
Belarus,2009,5176.172649
Belarus,2008,6376.183153
Belarus,2007,4735.484827
Belarus,2006,3848.215966
Belarus,2005,3126.71767
Belarus,2004,2378.33927
Belarus,2003,1819.525644
Belarus,2002,1479.383142
Belarus,2001,1244.373185
Belarus,2000,1276.28834
Belgium,2014,47439.39684
Belgium,2013,4651.38647
Belgium,2012,4474.5717
Belgium,2011,4772.77415
Belgium,2010,4438.23741
Belgium,2009,4488.5615
Belgium,2008,48424.58927
Belgium,2007,4443.83131
Belgium,2006,38852.3613
Belgium,2005,36967.28292
Belgium,2004,35589.71295
Belgium,2003,3743.95693
Belgium,2002,2552.3328
Belgium,2001,23121.56635
Belgium,2000,2327.4591
Belize,2014,4852.223666
Belize,2013,4688.538443
Belize,2012,4673.63848
Belize,2011,4516.24675
Belize,2010,4344.15177
Belize,2009,4258.788611
Belize,2008,4116.497809785715
Belize,2007,4324.876427
Belize,2006,4187.3783
Belize,2005,3933.332215
Belize,2004,3831.53819
Belize,2003,3679.99523
Belize,2002,3556.561825
Belize,2001,3419.275719
Belize,2000,3364.423711
Benin,2014,943.686575
Benin,2013,915.2674586
Benin,2012,837.9551
Benin,2011,825.9427854
Benin,2010,757.695974
Benin,2009,793.45243
